index,row,id,input_tokens,report_sha256
0,6645,govreport-train-00000-row6645,16203,036753b518a4b674d8117ea687b7c138e8cf137e931f8df2d31e327a04875e21
1,6069,govreport-train-00000-row6069,16048,3251c6e2c45797e560e053bbf63400a15e0ff9d5567571d081cc7226ac9e68be
2,4320,govreport-train-00000-row4320,15590,13b57d45798a958ee7337370dc98ffce5c1b0d37ddd77d0e73b729753a6c5b88
3,122,govreport-train-00000-row122,16987,2b2797f12c467c2c196720da5d328a895b20857515e66e31c117230d16c56479
4,1913,govreport-train-00000-row1913,17154,435bcf878284d199439af3496d146d6f9a9674a2427ce6cd3f5244c5c75ac841
5,1179,govreport-train-00000-row1179,15397,307fa03e865925deb0f7bdd2506c4047ba99c461f58527787a28c47cc7657cb6
6,5801,govreport-train-00000-row5801,15643,c481a3aced6a55df872bcb8888f9dddbb830da21fc31fbbc9fab4e70f684a73e
7,8264,govreport-train-00000-row8264,16232,53dec91f35473a0ddfcef567721720664072cbc34db25c8d019fe3b386b8d48e
8,7237,govreport-train-00000-row7237,15829,9daa48f9483cb2740a7a088f811df51138c556add4151d23f51a6af2265fe92a
9,6587,govreport-train-00000-row6587,16458,91e3dd58c86c310f613da32d4ca0e755acbb712967feac6ea842e1fa0c53aa2a
10,674,govreport-train-00000-row674,16415,ec58eb80518bab34acfc01d7593fbdfba07a5dbaac8dc561b539b3199e507049
11,1550,govreport-train-00000-row1550,17332,a98d6d198dbeaa4bc21d56dca8265a9e8073b73a575c47446900a01025ef43ef
12,5478,govreport-train-00000-row5478,16151,7b759077ba557c28b9becdae8b9a127dfa59fafc2bff1d2878a5bb5f3a3a5250
13,2982,govreport-train-00000-row2982,16501,42f01385af4f2c6d7d3be8b59de1c06197dab2dc19c7713c9ba2285acbc5e71c
14,6294,govreport-train-00000-row6294,16356,01209538543bc14033af2ceb690891ac04c931073fa74382b5649fe09aa7641a
15,6109,govreport-train-00000-row6109,15638,60c1a196152b25a37cee7b83150af53ae345706cab4264338ee8919466986bb4
16,4484,govreport-train-00000-row4484,16280,62001e156f22016327abcbfc49b3711858aa33cc27baa1b235211780d1f7020c
17,4090,govreport-train-00000-row4090,16238,a6c98e26bcabe59ee6512515c8deb84b437f9b63245ac545517f9ea22fca8791
18,4813,govreport-train-00000-row4813,15932,37db37f0715175ecc7893078521a2b393a88ceba0358c00c880c2e1e407b78c0
19,463,govreport-train-00000-row463,17202,18dfd9e0bae67ac1f683bc89ae7400c4b6b86fe55a5b5849b7c933b9908bf548
20,1534,govreport-train-00000-row1534,17293,67aca2f9fcdc5e18a865922deb29a7d3f3de4a855b837b1c6416d1b67b8b8744
21,5028,govreport-train-00000-row5028,16947,4018a0ad460fb1c9531173527e7fc1da00025a7456e2096b1a2e654937d1d05b
22,2699,govreport-train-00000-row2699,16553,87238497fae2647d70f53bdc9b94bfcd39df4bc5ef4483e0752724b2d3e4f22f
23,4438,govreport-train-00000-row4438,16292,3f45af4d74035b3d35dc2b36000c73756bb68a2365b4753f05b00cd1acca5ff4
24,7842,govreport-train-00000-row7842,17282,6cdd07c0ffc0e040dc1a2fb50a5bcbf9ce2debd18919228f57ef9bded42ab60e
25,3094,govreport-train-00000-row3094,16564,64bdf2300d62fb7a9198135819acc153b5ad6557f278069d96ab8c5d483c96eb
26,2346,govreport-train-00000-row2346,16304,2e8e2a0bd9930536ba9cb12b0093099dc3606bcf153105a089262f861c32f8d6
27,4711,govreport-train-00000-row4711,16667,298d973366f5117916baadaaf679951f9d5243c1d39d3d4906cea4c05bbe5241
28,8359,govreport-train-00000-row8359,15878,3e51f86684cb946f958f9c5047a9ff7b8918c49cc3e2c89dcd95d7ebdd616ef8
29,3256,govreport-train-00000-row3256,17342,fd4b58b5716a89e99bd3127396ea61671c758198cb152651b79a2db77cd5c212
30,825,govreport-train-00000-row825,16577,afcfdec2169f9e60e2aba36f218e448c17e23cf7104478acb528d8f6b84cca61
31,4459,govreport-train-00000-row4459,16560,6b0181394c4de5550d5eebc07966f6af59ad6d26d8832bb4c073bb15f3acc77b
32,7758,govreport-train-00000-row7758,16984,3cf9e2ebe894b6565d21e3ea03e7fc928a1002a0d44c89730b3764a8abc67bd9
33,2176,govreport-train-00000-row2176,16179,5e3747f1dab728b584885e5027d38db00be0da73370cfa65631c6d42fa1fdd82
34,6338,govreport-train-00000-row6338,15838,c27501b40de693a96a2e5627bdca5013c450ddd6aab6e06419bd799ed219f9f4
35,6680,govreport-train-00000-row6680,16757,f99a748da91e880c6cab9a58c54ceee6f50562b12e1be9faaed53cf71422c810
36,8335,govreport-train-00000-row8335,17326,81f60f120067c555fb9ea8b7f48801a8f836b0ca5898084c27854a0f04390d7a
37,7147,govreport-train-00000-row7147,16171,482c69c1cf956ec8a4c3cb7a276237d3ee536e2e86bd69a6cf48ca47ed2c0a35
38,7301,govreport-train-00000-row7301,15683,d02463e5e3854da84a95566eefe66257902f2b76de0b83582702150f38cc0833
39,4597,govreport-train-00000-row4597,16115,684ba8ffe13eaf395f33c21ef22b88208a09004fecc582662b3d1f259080e071
40,7941,govreport-train-00000-row7941,15566,cbf8ed1bdb3e00f81d3ba9f4aa83171d6ec68e0481fc17183856fe8a264fe8cc
41,5456,govreport-train-00000-row5456,15890,6522b74fbdcbeb61860fa14a3f1913305dc1a8e71103591479e30540305daee0
42,4672,govreport-train-00000-row4672,15858,de83d4fd5855c66d46ceb3f1cd15c974f04f35df511b03688b8408b206344e0f
43,7259,govreport-train-00000-row7259,15772,14824dd7c3ad6e5a4c245b54b8754acf3f95c7ac9d9055df388edf3d7ac7481f
44,8591,govreport-train-00000-row8591,15839,c0cc6628405a8190968882788f55f3d3c89cd5632b172ca8949fc9edf9eb30c2
45,3517,govreport-train-00000-row3517,15442,62d66a97bbf88d3a9d24a8ed62ec6871905454708d1272070c20c0151a77ad62
46,8722,govreport-train-00000-row8722,16967,00ab7431d66368db6a92b7ef67ecbbccc9006bce4a8b7dfe8a80bd828b669c66
47,6594,govreport-train-00000-row6594,15657,600f60e9e0f14631d4491dbb4206c2b73f8128bd9c0993c93e24f47d01c3f5ca
48,1341,govreport-train-00000-row1341,16769,cbf54e28a0d305637b21162673d9b096a0ace097a57d1d70fa0b7d0040f0348e
49,4483,govreport-train-00000-row4483,16242,f40967a477b9d0e0ef3b9a04bf97e6e10b85ef81730e369d9a92944a4df9bc43
50,446,govreport-train-00000-row446,15429,29e906aecd93dfad709195b53efc6a36d7f68259e32c1b422b635306a86cea54
51,4846,govreport-train-00000-row4846,16557,ddcb92549848fff58ff050f56c8cf07ba72bbc6530b9486375adff5134a53de4
52,3059,govreport-train-00000-row3059,16257,7f6a8d8dc5dbf24b9c3f81af9f6709b410c494bba16fd9d25bff668c8ed1083f
53,4109,govreport-train-00000-row4109,16083,b3724e136753db1bbcb8cf179b6fc43d19b24543a1b0999dc8cac68e8b7b68eb
54,6641,govreport-train-00000-row6641,16584,1b64e9dbe4b99c1c0f5384bd14b218f3599b7a1b690d6f5d523ba6611661b91f
55,5081,govreport-train-00000-row5081,16698,cdeeb97128ad7cf97c24988fe52cdbd3dc2fdcd5772855d17c6fded68f2b8694
56,5763,govreport-train-00000-row5763,17208,42461c17f72a54e12621f17613bee21470d2f5763abf17be6a180dca59cb2be9
57,2314,govreport-train-00000-row2314,16041,889599ca6a34e0fa5288ef28d6dbe3e2942d1e204ae4f4c55d8ebd6431237f93
58,8650,govreport-train-00000-row8650,17262,f4cda79bf170b63c1145f5f156b853d306ef4fd1c0e450fff8d786f68ee462cb
59,8126,govreport-train-00000-row8126,16662,63478eee993bae2699ea855346d0893d6276b6a84109a3c0c831f86ae8defccd
60,4162,govreport-train-00000-row4162,16006,4cf3cc3d5458f3fe8659b0afc7f05a5be88a222d0fc4c58efde764186bf086dc
61,1423,govreport-train-00000-row1423,15535,7b7c0d059e34834f9426e627897a508bb263d4f43ab65090e98bb9f98dc0b50d
62,6859,govreport-train-00000-row6859,17268,25dc635596ffef47e77219e3470640b5473f3b88a7d09d4cf8a6e22ffee78dbb
63,7882,govreport-train-00000-row7882,15868,3f60bf903f14bb4635bf6855cbef43b8645c93c0604a4b0335f331f3150f9336
64,1303,govreport-train-00000-row1303,16074,667b0c64f989f6054c6a057e1a119e9adf5dd9410d82ee36ec16ceea372a8fce
65,7255,govreport-train-00000-row7255,16644,3000cbdc75987deab92c7bf756891e16ede8099afb2987e2ae6f620aec5d7547
66,8140,govreport-train-00000-row8140,15451,3ad24f8b8cba3936b6e7c211444fcd0d12787e4ac11d8c8667d3f08018395e3c
67,4974,govreport-train-00000-row4974,17291,c3a4ac6e9c6001cc4f40a35525d1200280c5af6fe23e70330e435adb831feb3e
68,2565,govreport-train-00000-row2565,16062,3e5621ba767976600ab4600951dcbd616215adea14f759ffe2bde53fb3a15754
69,3764,govreport-train-00000-row3764,16285,64830344591f574c490b5ff5496cb35e157d49f29723ddf4ed0df668315f3914
70,600,govreport-train-00000-row600,15812,032ef545a5139e067df99da4bd790119e88de11129ddabbf7ee4e1132d346716
71,7318,govreport-train-00000-row7318,16223,28d2b903944f2db3205dec076cf68750c8615d3dd6ee306419e33e9211710711
72,5273,govreport-train-00000-row5273,16339,bd2ca050efd07665cd0961be728a6331cbda51cf1c887a43700869c0b5ffb30f
73,2008,govreport-train-00000-row2008,16541,903c05f9f58f91db425d52698f8431f4c91e786dc698cf8b8392bacaa6e55b1d
74,6671,govreport-train-00000-row6671,17158,ba3681822ee07c725e343212223c4ade0a4650f2e83b07d47733b26d9a045efd
75,6580,govreport-train-00000-row6580,17003,bdc6583263fc6059aeb152f6f27869e463e7d7487f8a409a873f67050054f9dd
76,2793,govreport-train-00000-row2793,17275,770b3ac654b3128103768616261f3a94b3269fe0305b7cf25230bf79d701ff53
77,4437,govreport-train-00000-row4437,15775,a18b17fb7eb5b5a54db0af9702d9124cab14370b0beca834536e23b694160035
78,3100,govreport-train-00000-row3100,16250,024b77d6cfed4e6a4450a30e8e25a8dd4d8382002d196b430ece102c44df0040
79,6297,govreport-train-00000-row6297,16460,8d6a67e939c39af14dd5fb2b44ddae13e66aa5283b1abeff1a3e3ce209f6f833
80,7439,govreport-train-00000-row7439,16460,85d8050be235719513293b19253a9b320c0c14f340ae1131b57919f03c87a992
81,4569,govreport-train-00000-row4569,16599,ecca4573f1fa12e52c6ed9eb7f43d0f16f7afd5459cbe96cfbe787b86123df9b
82,6698,govreport-train-00000-row6698,15657,10718fc415f267a6647b93a2f4729ac6c1fdc6d15fe3fa38779b39c1dbd620bf
